2026-02-27 22:20:23,273 - root - INFO - [Worker-0/PID-25321] - Worker 0 (PID: 25321) logging initialized
2026-02-27 22:20:23,274 - root - INFO - [Worker-0/PID-25321] - Worker 0 starting (PID: 25321)
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Worker 0 initialized successfully
2026-02-27 22:21:29,194 - root - INFO - [Worker-0/PID-25321] - [719598480] {'request_id': 719598480, 'input_seq_len': 248, 'output_seq_len': 349, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.583971', 'http_post_time': '2026-02-27 22:21:19.586296', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:29.193878', 'zmq_push_time': '2026-02-27 22:21:29.193878', 'total_time_s': 9.609907865524292, 'http_queue_latency_s': 0.0023250579833984375}
2026-02-27 22:21:30,975 - root - INFO - [Worker-0/PID-25321] - [719499152] {'request_id': 719499152, 'input_seq_len': 273, 'output_seq_len': 448, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.424651', 'http_post_time': '2026-02-27 22:21:19.424693', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:30.974828', 'zmq_push_time': '2026-02-27 22:21:30.974828', 'total_time_s': 11.550177335739136, 'http_queue_latency_s': 4.1961669921875e-05}
2026-02-27 22:21:32,064 - root - INFO - [Worker-0/PID-25321] - [719624080] {'request_id': 719624080, 'input_seq_len': 168, 'output_seq_len': 482, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.613537', 'http_post_time': '2026-02-27 22:21:19.613569', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:32.064272', 'zmq_push_time': '2026-02-27 22:21:32.064272', 'total_time_s': 12.450735330581665, 'http_queue_latency_s': 3.218650817871094e-05}
2026-02-27 22:21:35,701 - root - INFO - [Worker-0/PID-25321] - [719583632] {'request_id': 719583632, 'input_seq_len': 331, 'output_seq_len': 660, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.544292', 'http_post_time': '2026-02-27 22:21:19.544334', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:35.701371', 'zmq_push_time': '2026-02-27 22:21:35.701371', 'total_time_s': 16.157079458236694, 'http_queue_latency_s': 4.2438507080078125e-05}
2026-02-27 22:21:36,891 - root - INFO - [Worker-0/PID-25321] - [719606672] {'request_id': 719606672, 'input_seq_len': 128, 'output_seq_len': 713, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.593599', 'http_post_time': '2026-02-27 22:21:19.593642', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:36.891020', 'zmq_push_time': '2026-02-27 22:21:36.891020', 'total_time_s': 17.297420740127563, 'http_queue_latency_s': 4.267692565917969e-05}
2026-02-27 22:21:37,765 - root - INFO - [Worker-0/PID-25321] - [719591824] {'request_id': 719591824, 'input_seq_len': 296, 'output_seq_len': 756, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.583529', 'http_post_time': '2026-02-27 22:21:19.584961', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:37.765312', 'zmq_push_time': '2026-02-27 22:21:37.765312', 'total_time_s': 18.181783199310303, 'http_queue_latency_s': 0.0014314651489257812}
2026-02-27 22:21:38,127 - root - INFO - [Worker-0/PID-25321] - [719537040] {'request_id': 719537040, 'input_seq_len': 323, 'output_seq_len': 780, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.504051', 'http_post_time': '2026-02-27 22:21:19.506995', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:38.127206', 'zmq_push_time': '2026-02-27 22:21:38.127206', 'total_time_s': 18.623154640197754, 'http_queue_latency_s': 0.0029435157775878906}
2026-02-27 22:21:41,644 - root - INFO - [Worker-0/PID-25321] - [719493008] {'request_id': 719493008, 'input_seq_len': 346, 'output_seq_len': 950, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.408370', 'http_post_time': '2026-02-27 22:21:19.409482', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:41.644292', 'zmq_push_time': '2026-02-27 22:21:41.644292', 'total_time_s': 22.23592185974121, 'http_queue_latency_s': 0.0011115074157714844}
2026-02-27 22:21:42,656 - root - INFO - [Worker-0/PID-25321] - [719569296] {'request_id': 719569296, 'input_seq_len': 318, 'output_seq_len': 985, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.529367', 'http_post_time': '2026-02-27 22:21:19.529524', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:42.656263', 'zmq_push_time': '2026-02-27 22:21:42.656263', 'total_time_s': 23.126895904541016, 'http_queue_latency_s': 0.00015687942504882812}
2026-02-27 22:21:43,239 - root - INFO - [Worker-0/PID-25321] - [719495056] {'request_id': 719495056, 'input_seq_len': 311, 'output_seq_len': 1023, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.411533', 'http_post_time': '2026-02-27 22:21:19.411617', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:43.239743', 'zmq_push_time': '2026-02-27 22:21:43.239743', 'total_time_s': 23.82821035385132, 'http_queue_latency_s': 8.463859558105469e-05}
2026-02-27 22:21:44,503 - root - INFO - [Worker-0/PID-25321] - [719562640] {'request_id': 719562640, 'input_seq_len': 474, 'output_seq_len': 1071, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.520293', 'http_post_time': '2026-02-27 22:21:19.520356', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:44.502825', 'zmq_push_time': '2026-02-27 22:21:44.502825', 'total_time_s': 24.982532739639282, 'http_queue_latency_s': 6.29425048828125e-05}
2026-02-27 22:21:44,518 - root - INFO - [Worker-0/PID-25321] - [719538576] {'request_id': 719538576, 'input_seq_len': 208, 'output_seq_len': 1074, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.504147', 'http_post_time': '2026-02-27 22:21:19.507187', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:44.518298', 'zmq_push_time': '2026-02-27 22:21:44.518298', 'total_time_s': 25.014151096343994, 'http_queue_latency_s': 0.0030400753021240234}
2026-02-27 22:21:44,721 - root - INFO - [Worker-0/PID-25321] - [719567760] {'request_id': 719567760, 'input_seq_len': 778, 'output_seq_len': 1080, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.526676', 'http_post_time': '2026-02-27 22:21:19.526721', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:44.721237', 'zmq_push_time': '2026-02-27 22:21:44.721237', 'total_time_s': 25.194561004638672, 'http_queue_latency_s': 4.553794860839844e-05}
2026-02-27 22:21:46,093 - root - INFO - [Worker-0/PID-25321] - [719503760] {'request_id': 719503760, 'input_seq_len': 399, 'output_seq_len': 1153, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.435209', 'http_post_time': '2026-02-27 22:21:19.435256', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:46.093675', 'zmq_push_time': '2026-02-27 22:21:46.093675', 'total_time_s': 26.65846586227417, 'http_queue_latency_s': 4.673004150390625e-05}
