2026-03-02 21:12:15,099 - root - INFO - [Worker-0/PID-24814] - Worker 0 (PID: 24814) logging initialized
2026-03-02 21:12:15,100 - root - INFO - [Worker-0/PID-24814] - Worker 0 starting (PID: 24814)
2026-03-02 21:12:15,920 - root - INFO - [Worker-0/PID-24814] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-02 21:12:15,921 - root - INFO - [Worker-0/PID-24814] - Worker 0 initialized successfully
2026-03-02 21:13:09,469 - root - INFO - [Worker-0/PID-24814] - [825215968] {'request_id': 825215968, 'input_seq_len': 220, 'output_seq_len': 286, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.249192', 'http_post_time': '2026-03-02 21:13:01.249235', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:09.469677', 'zmq_push_time': '2026-03-02 21:13:09.469677', 'total_time_s': 8.220484495162964, 'http_queue_latency_s': 4.267692565917969e-05}
2026-03-02 21:13:17,731 - root - INFO - [Worker-0/PID-24814] - [825269728] {'request_id': 825269728, 'input_seq_len': 266, 'output_seq_len': 634, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.311964', 'http_post_time': '2026-03-02 21:13:01.313387', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:17.731329', 'zmq_push_time': '2026-03-02 21:13:17.731329', 'total_time_s': 16.419365167617798, 'http_queue_latency_s': 0.0014233589172363281}
2026-03-02 21:13:20,462 - root - INFO - [Worker-0/PID-24814] - [825233888] {'request_id': 825233888, 'input_seq_len': 339, 'output_seq_len': 780, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.264453', 'http_post_time': '2026-03-02 21:13:01.264543', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:20.462379', 'zmq_push_time': '2026-03-02 21:13:20.462379', 'total_time_s': 19.19792675971985, 'http_queue_latency_s': 9.036064147949219e-05}
2026-03-02 21:13:21,957 - root - INFO - [Worker-0/PID-24814] - [825268192] {'request_id': 825268192, 'input_seq_len': 469, 'output_seq_len': 842, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.295767', 'http_post_time': '2026-03-02 21:13:01.295832', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:21.956855', 'zmq_push_time': '2026-03-02 21:13:21.956855', 'total_time_s': 20.661088466644287, 'http_queue_latency_s': 6.532669067382812e-05}
2026-03-02 21:13:22,792 - root - INFO - [Worker-0/PID-24814] - [825292256] {'request_id': 825292256, 'input_seq_len': 321, 'output_seq_len': 876, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.318735', 'http_post_time': '2026-03-02 21:13:01.319604', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:22.792599', 'zmq_push_time': '2026-03-02 21:13:22.792599', 'total_time_s': 21.47386407852173, 'http_queue_latency_s': 0.0008685588836669922}
2026-03-02 21:13:24,713 - root - INFO - [Worker-0/PID-24814] - [825263072] {'request_id': 825263072, 'input_seq_len': 461, 'output_seq_len': 965, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.290539', 'http_post_time': '2026-03-02 21:13:01.290579', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:24.713670', 'zmq_push_time': '2026-03-02 21:13:24.713670', 'total_time_s': 23.42313027381897, 'http_queue_latency_s': 3.933906555175781e-05}
2026-03-02 21:13:25,885 - root - INFO - [Worker-0/PID-24814] - [825258976] {'request_id': 825258976, 'input_seq_len': 128, 'output_seq_len': 1017, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.286472', 'http_post_time': '2026-03-02 21:13:01.286503', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:25.885502', 'zmq_push_time': '2026-03-02 21:13:25.885502', 'total_time_s': 24.599030017852783, 'http_queue_latency_s': 3.075599670410156e-05}
2026-03-02 21:13:26,453 - root - INFO - [Worker-0/PID-24814] - [825178592] {'request_id': 825178592, 'input_seq_len': 357, 'output_seq_len': 1053, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.215775', 'http_post_time': '2026-03-02 21:13:01.217736', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:26.453819', 'zmq_push_time': '2026-03-02 21:13:26.453819', 'total_time_s': 25.238044261932373, 'http_queue_latency_s': 0.001961231231689453}
2026-03-02 21:13:27,430 - root - INFO - [Worker-0/PID-24814] - [825181152] {'request_id': 825181152, 'input_seq_len': 215, 'output_seq_len': 1096, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.218323', 'http_post_time': '2026-03-02 21:13:01.219481', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:27.429836', 'zmq_push_time': '2026-03-02 21:13:27.429836', 'total_time_s': 26.211512804031372, 'http_queue_latency_s': 0.001157522201538086}
2026-03-02 21:13:28,603 - root - INFO - [Worker-0/PID-24814] - [825297376] {'request_id': 825297376, 'input_seq_len': 199, 'output_seq_len': 1130, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.323061', 'http_post_time': '2026-03-02 21:13:01.323097', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.602875', 'zmq_push_time': '2026-03-02 21:13:28.602875', 'total_time_s': 27.27981448173523, 'http_queue_latency_s': 3.600120544433594e-05}
2026-03-02 21:13:28,646 - root - INFO - [Worker-0/PID-24814] - [825307104] {'request_id': 825307104, 'input_seq_len': 169, 'output_seq_len': 1131, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.330733', 'http_post_time': '2026-03-02 21:13:01.330767', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.646463', 'zmq_push_time': '2026-03-02 21:13:28.646463', 'total_time_s': 27.315730571746826, 'http_queue_latency_s': 3.457069396972656e-05}
2026-03-02 21:13:28,968 - root - INFO - [Worker-0/PID-24814] - [825224160] {'request_id': 825224160, 'input_seq_len': 461, 'output_seq_len': 1156, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.256138', 'http_post_time': '2026-03-02 21:13:01.256171', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.968475', 'zmq_push_time': '2026-03-02 21:13:28.968475', 'total_time_s': 27.712336778640747, 'http_queue_latency_s': 3.266334533691406e-05}
2026-03-02 21:13:28,989 - root - INFO - [Worker-0/PID-24814] - [825240544] {'request_id': 825240544, 'input_seq_len': 215, 'output_seq_len': 1155, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.269879', 'http_post_time': '2026-03-02 21:13:01.269914', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:28.989591', 'zmq_push_time': '2026-03-02 21:13:28.989591', 'total_time_s': 27.719712495803833, 'http_queue_latency_s': 3.5762786865234375e-05}
2026-03-02 21:13:29,338 - root - INFO - [Worker-0/PID-24814] - [825252320] {'request_id': 825252320, 'input_seq_len': 291, 'output_seq_len': 1168, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.280406', 'http_post_time': '2026-03-02 21:13:01.280437', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:29.338402', 'zmq_push_time': '2026-03-02 21:13:29.338402', 'total_time_s': 28.057995796203613, 'http_queue_latency_s': 3.170967102050781e-05}
2026-03-02 21:13:30,689 - root - INFO - [Worker-0/PID-24814] - [825237472] {'request_id': 825237472, 'input_seq_len': 129, 'output_seq_len': 1229, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.267402', 'http_post_time': '2026-03-02 21:13:01.267435', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:30.688995', 'zmq_push_time': '2026-03-02 21:13:30.688995', 'total_time_s': 29.421593189239502, 'http_queue_latency_s': 3.266334533691406e-05}
2026-03-02 21:13:30,701 - root - INFO - [Worker-0/PID-24814] - [825261536] {'request_id': 825261536, 'input_seq_len': 193, 'output_seq_len': 1227, 'num_chunks': 0, 'zmq_recv_time': '2026-03-02 21:13:01.289107', 'http_post_time': '2026-03-02 21:13:01.289175', 'first_token_time': None, 'final_token_time': '2026-03-02 21:13:30.701448', 'zmq_push_time': '2026-03-02 21:13:30.701448', 'total_time_s': 29.412340879440308, 'http_queue_latency_s': 6.794929504394531e-05}
