2026-03-03 01:00:59,561 - root - INFO - [Worker-0/PID-24869] - Worker 0 (PID: 24869) logging initialized
2026-03-03 01:00:59,562 - root - INFO - [Worker-0/PID-24869] - Worker 0 starting (PID: 24869)
2026-03-03 01:01:00,374 - root - INFO - [Worker-0/PID-24869] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-03 01:01:00,374 - root - INFO - [Worker-0/PID-24869] - Worker 0 initialized successfully
2026-03-03 01:02:51,718 - root - INFO - [Worker-0/PID-24869] - [740711936] {'request_id': 740711936, 'input_seq_len': 1986, 'output_seq_len': 752, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.823903', 'http_post_time': '2026-03-03 01:01:50.823971', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:51.718554', 'zmq_push_time': '2026-03-03 01:02:51.718554', 'total_time_s': 60.89465093612671, 'http_queue_latency_s': 6.747245788574219e-05}
2026-03-03 01:02:52,501 - root - INFO - [Worker-0/PID-24869] - [740756992] {'request_id': 740756992, 'input_seq_len': 1774, 'output_seq_len': 710, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.101743', 'http_post_time': '2026-03-03 01:01:51.102034', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:52.501432', 'zmq_push_time': '2026-03-03 01:02:52.501432', 'total_time_s': 61.39968991279602, 'http_queue_latency_s': 0.0002918243408203125}
2026-03-03 01:02:54,325 - root - INFO - [Worker-0/PID-24869] - [740720640] {'request_id': 740720640, 'input_seq_len': 1558, 'output_seq_len': 800, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.880926', 'http_post_time': '2026-03-03 01:01:50.880986', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:54.325766', 'zmq_push_time': '2026-03-03 01:02:54.325766', 'total_time_s': 63.44484066963196, 'http_queue_latency_s': 6.079673767089844e-05}
2026-03-03 01:02:54,428 - root - INFO - [Worker-0/PID-24869] - [740652032] {'request_id': 740652032, 'input_seq_len': 2252, 'output_seq_len': 898, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.417428', 'http_post_time': '2026-03-03 01:01:50.418061', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:54.428463', 'zmq_push_time': '2026-03-03 01:02:54.428463', 'total_time_s': 64.01103496551514, 'http_queue_latency_s': 0.00063323974609375}
2026-03-03 01:02:55,191 - root - INFO - [Worker-0/PID-24869] - [740745728] {'request_id': 740745728, 'input_seq_len': 1291, 'output_seq_len': 788, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.051638', 'http_post_time': '2026-03-03 01:01:51.053868', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:55.190951', 'zmq_push_time': '2026-03-03 01:02:55.190951', 'total_time_s': 64.1393129825592, 'http_queue_latency_s': 0.0022301673889160156}
2026-03-03 01:02:55,698 - root - INFO - [Worker-0/PID-24869] - [740696064] {'request_id': 740696064, 'input_seq_len': 1549, 'output_seq_len': 869, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.723511', 'http_post_time': '2026-03-03 01:01:50.723987', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:55.698425', 'zmq_push_time': '2026-03-03 01:02:55.698425', 'total_time_s': 64.97491335868835, 'http_queue_latency_s': 0.00047516822814941406}
2026-03-03 01:02:56,571 - root - INFO - [Worker-0/PID-24869] - [740695040] {'request_id': 740695040, 'input_seq_len': 5330, 'output_seq_len': 890, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.718213', 'http_post_time': '2026-03-03 01:01:50.718430', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:56.571198', 'zmq_push_time': '2026-03-03 01:02:56.571198', 'total_time_s': 65.85298538208008, 'http_queue_latency_s': 0.00021719932556152344}
2026-03-03 01:02:56,827 - root - INFO - [Worker-0/PID-24869] - [740835840] {'request_id': 740835840, 'input_seq_len': 825, 'output_seq_len': 692, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.579983', 'http_post_time': '2026-03-03 01:01:51.580029', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:56.827105', 'zmq_push_time': '2026-03-03 01:02:56.827105', 'total_time_s': 65.24712252616882, 'http_queue_latency_s': 4.6253204345703125e-05}
2026-03-03 01:02:57,090 - root - INFO - [Worker-0/PID-24869] - [740657664] {'request_id': 740657664, 'input_seq_len': 2067, 'output_seq_len': 950, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.477945', 'http_post_time': '2026-03-03 01:01:50.478023', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:57.090720', 'zmq_push_time': '2026-03-03 01:02:57.090720', 'total_time_s': 66.61277484893799, 'http_queue_latency_s': 7.772445678710938e-05}
2026-03-03 01:02:57,571 - root - INFO - [Worker-0/PID-24869] - [740767232] {'request_id': 740767232, 'input_seq_len': 2958, 'output_seq_len': 807, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.165497', 'http_post_time': '2026-03-03 01:01:51.165665', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:57.570767', 'zmq_push_time': '2026-03-03 01:02:57.570767', 'total_time_s': 66.40527009963989, 'http_queue_latency_s': 0.00016880035400390625}
2026-03-03 01:02:58,055 - root - INFO - [Worker-0/PID-24869] - [740740608] {'request_id': 740740608, 'input_seq_len': 1840, 'output_seq_len': 853, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.012573', 'http_post_time': '2026-03-03 01:01:51.012635', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:58.055295', 'zmq_push_time': '2026-03-03 01:02:58.055295', 'total_time_s': 67.04272222518921, 'http_queue_latency_s': 6.246566772460938e-05}
2026-03-03 01:02:58,090 - root - INFO - [Worker-0/PID-24869] - [740786176] {'request_id': 740786176, 'input_seq_len': 3972, 'output_seq_len': 792, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.278170', 'http_post_time': '2026-03-03 01:01:51.278266', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:58.089980', 'zmq_push_time': '2026-03-03 01:02:58.089980', 'total_time_s': 66.81181025505066, 'http_queue_latency_s': 9.584426879882812e-05}
2026-03-03 01:02:58,395 - root - INFO - [Worker-0/PID-24869] - [740804608] {'request_id': 740804608, 'input_seq_len': 1249, 'output_seq_len': 771, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:51.386985', 'http_post_time': '2026-03-03 01:01:51.387043', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:58.395658', 'zmq_push_time': '2026-03-03 01:02:58.395658', 'total_time_s': 67.00867319107056, 'http_queue_latency_s': 5.7697296142578125e-05}
2026-03-03 01:02:59,197 - root - INFO - [Worker-0/PID-24869] - [740672512] {'request_id': 740672512, 'input_seq_len': 1733, 'output_seq_len': 974, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.587271', 'http_post_time': '2026-03-03 01:01:50.587677', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:59.197311', 'zmq_push_time': '2026-03-03 01:02:59.197311', 'total_time_s': 68.61004042625427, 'http_queue_latency_s': 0.00040650367736816406}
2026-03-03 01:02:59,433 - root - INFO - [Worker-0/PID-24869] - [740671488] {'request_id': 740671488, 'input_seq_len': 3637, 'output_seq_len': 981, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.573336', 'http_post_time': '2026-03-03 01:01:50.573431', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:59.433008', 'zmq_push_time': '2026-03-03 01:02:59.433008', 'total_time_s': 68.85967206954956, 'http_queue_latency_s': 9.5367431640625e-05}
2026-03-03 01:02:59,435 - root - INFO - [Worker-0/PID-24869] - [740726272] {'request_id': 740726272, 'input_seq_len': 2563, 'output_seq_len': 902, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.921140', 'http_post_time': '2026-03-03 01:01:50.921232', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:59.435795', 'zmq_push_time': '2026-03-03 01:02:59.435795', 'total_time_s': 68.51465559005737, 'http_queue_latency_s': 9.274482727050781e-05}
2026-03-03 01:02:59,694 - root - INFO - [Worker-0/PID-24869] - [740706304] {'request_id': 740706304, 'input_seq_len': 2438, 'output_seq_len': 937, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.786171', 'http_post_time': '2026-03-03 01:01:50.786328', 'first_token_time': None, 'final_token_time': '2026-03-03 01:02:59.694398', 'zmq_push_time': '2026-03-03 01:02:59.694398', 'total_time_s': 68.90822625160217, 'http_queue_latency_s': 0.00015687942504882812}
2026-03-03 01:03:00,543 - root - INFO - [Worker-0/PID-24869] - [740717056] {'request_id': 740717056, 'input_seq_len': 3550, 'output_seq_len': 939, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:01:50.859968', 'http_post_time': '2026-03-03 01:01:50.860080', 'first_token_time': None, 'final_token_time': '2026-03-03 01:03:00.543930', 'zmq_push_time': '2026-03-03 01:03:00.543930', 'total_time_s': 69.68396139144897, 'http_queue_latency_s': 0.00011134147644042969}
