2026-03-03 01:22:25,826 - root - INFO - [Worker-0/PID-26238] - Worker 0 (PID: 26238) logging initialized
2026-03-03 01:22:25,828 - root - INFO - [Worker-0/PID-26238] - Worker 0 starting (PID: 26238)
2026-03-03 01:22:26,564 - root - INFO - [Worker-0/PID-26238] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-03 01:22:26,564 - root - INFO - [Worker-0/PID-26238] - Worker 0 initialized successfully
2026-03-03 01:22:40,309 - root - INFO - [Worker-0/PID-26238] - [521309952] {'request_id': 521309952, 'input_seq_len': 312, 'output_seq_len': 514, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.173760', 'http_post_time': '2026-03-03 01:22:27.174245', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:40.309622', 'zmq_push_time': '2026-03-03 01:22:40.309622', 'total_time_s': 13.13586163520813, 'http_queue_latency_s': 0.0004851818084716797}
2026-03-03 01:22:40,920 - root - INFO - [Worker-0/PID-26238] - [521294080] {'request_id': 521294080, 'input_seq_len': 194, 'output_seq_len': 567, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.134464', 'http_post_time': '2026-03-03 01:22:27.134526', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:40.920477', 'zmq_push_time': '2026-03-03 01:22:40.920477', 'total_time_s': 13.786013126373291, 'http_queue_latency_s': 6.222724914550781e-05}
2026-03-03 01:22:42,428 - root - INFO - [Worker-0/PID-26238] - [521419008] {'request_id': 521419008, 'input_seq_len': 340, 'output_seq_len': 618, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.297549', 'http_post_time': '2026-03-03 01:22:27.297716', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:42.427924', 'zmq_push_time': '2026-03-03 01:22:42.427924', 'total_time_s': 15.130374908447266, 'http_queue_latency_s': 0.00016760826110839844}
2026-03-03 01:22:42,980 - root - INFO - [Worker-0/PID-26238] - [521353984] {'request_id': 521353984, 'input_seq_len': 411, 'output_seq_len': 654, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.221038', 'http_post_time': '2026-03-03 01:22:27.221085', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:42.980529', 'zmq_push_time': '2026-03-03 01:22:42.980529', 'total_time_s': 15.759491205215454, 'http_queue_latency_s': 4.696846008300781e-05}
2026-03-03 01:22:45,224 - root - INFO - [Worker-0/PID-26238] - [521324800] {'request_id': 521324800, 'input_seq_len': 330, 'output_seq_len': 761, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.186424', 'http_post_time': '2026-03-03 01:22:27.186472', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.224284', 'zmq_push_time': '2026-03-03 01:22:45.224284', 'total_time_s': 18.037859439849854, 'http_queue_latency_s': 4.792213439941406e-05}
2026-03-03 01:22:45,879 - root - INFO - [Worker-0/PID-26238] - [521306880] {'request_id': 521306880, 'input_seq_len': 188, 'output_seq_len': 795, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.165218', 'http_post_time': '2026-03-03 01:22:27.165265', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.879622', 'zmq_push_time': '2026-03-03 01:22:45.879622', 'total_time_s': 18.714404344558716, 'http_queue_latency_s': 4.673004150390625e-05}
2026-03-03 01:22:48,517 - root - INFO - [Worker-0/PID-26238] - [521342720] {'request_id': 521342720, 'input_seq_len': 339, 'output_seq_len': 910, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.204950', 'http_post_time': '2026-03-03 01:22:27.205078', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:48.517113', 'zmq_push_time': '2026-03-03 01:22:48.517113', 'total_time_s': 21.312162399291992, 'http_queue_latency_s': 0.0001277923583984375}
2026-03-03 01:22:49,793 - root - INFO - [Worker-0/PID-26238] - [521354496] {'request_id': 521354496, 'input_seq_len': 241, 'output_seq_len': 968, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.221827', 'http_post_time': '2026-03-03 01:22:27.221878', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:49.793102', 'zmq_push_time': '2026-03-03 01:22:49.793102', 'total_time_s': 22.57127547264099, 'http_queue_latency_s': 5.14984130859375e-05}
2026-03-03 01:22:50,223 - root - INFO - [Worker-0/PID-26238] - [521295104] {'request_id': 521295104, 'input_seq_len': 331, 'output_seq_len': 996, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.139352', 'http_post_time': '2026-03-03 01:22:27.139391', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:50.223588', 'zmq_push_time': '2026-03-03 01:22:50.223588', 'total_time_s': 23.084235429763794, 'http_queue_latency_s': 3.910064697265625e-05}
2026-03-03 01:22:50,397 - root - INFO - [Worker-0/PID-26238] - [521302272] {'request_id': 521302272, 'input_seq_len': 393, 'output_seq_len': 1002, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.156796', 'http_post_time': '2026-03-03 01:22:27.156870', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:50.397157', 'zmq_push_time': '2026-03-03 01:22:50.397157', 'total_time_s': 23.240361213684082, 'http_queue_latency_s': 7.43865966796875e-05}
2026-03-03 01:22:51,820 - root - INFO - [Worker-0/PID-26238] - [521341184] {'request_id': 521341184, 'input_seq_len': 386, 'output_seq_len': 1062, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.203638', 'http_post_time': '2026-03-03 01:22:27.203716', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:51.820669', 'zmq_push_time': '2026-03-03 01:22:51.820669', 'total_time_s': 24.617031812667847, 'http_queue_latency_s': 7.843971252441406e-05}
2026-03-03 01:22:53,556 - root - INFO - [Worker-0/PID-26238] - [521399552] {'request_id': 521399552, 'input_seq_len': 241, 'output_seq_len': 1131, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.277163', 'http_post_time': '2026-03-03 01:22:27.281832', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:53.556364', 'zmq_push_time': '2026-03-03 01:22:53.556364', 'total_time_s': 26.27920126914978, 'http_queue_latency_s': 0.004668474197387695}
2026-03-03 01:22:53,822 - root - INFO - [Worker-0/PID-26238] - [521423616] {'request_id': 521423616, 'input_seq_len': 129, 'output_seq_len': 1140, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.304302', 'http_post_time': '2026-03-03 01:22:27.304386', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:53.822502', 'zmq_push_time': '2026-03-03 01:22:53.822502', 'total_time_s': 26.518199682235718, 'http_queue_latency_s': 8.392333984375e-05}
2026-03-03 01:22:53,860 - root - INFO - [Worker-0/PID-26238] - [521331968] {'request_id': 521331968, 'input_seq_len': 771, 'output_seq_len': 1156, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.193709', 'http_post_time': '2026-03-03 01:22:27.193800', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:53.860483', 'zmq_push_time': '2026-03-03 01:22:53.860483', 'total_time_s': 26.666774034500122, 'http_queue_latency_s': 9.083747863769531e-05}
2026-03-03 01:22:54,166 - root - INFO - [Worker-0/PID-26238] - [521391360] {'request_id': 521391360, 'input_seq_len': 309, 'output_seq_len': 1160, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.276394', 'http_post_time': '2026-03-03 01:22:27.280493', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:54.166272', 'zmq_push_time': '2026-03-03 01:22:54.166272', 'total_time_s': 26.889878273010254, 'http_queue_latency_s': 0.004099607467651367}
2026-03-03 01:22:55,081 - root - INFO - [Worker-0/PID-26238] - [521326336] {'request_id': 521326336, 'input_seq_len': 340, 'output_seq_len': 1212, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.188129', 'http_post_time': '2026-03-03 01:22:27.188179', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:55.081768', 'zmq_push_time': '2026-03-03 01:22:55.081768', 'total_time_s': 27.893638610839844, 'http_queue_latency_s': 4.9591064453125e-05}
2026-03-03 01:22:55,266 - root - INFO - [Worker-0/PID-26238] - [521400576] {'request_id': 521400576, 'input_seq_len': 383, 'output_seq_len': 1209, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.277249', 'http_post_time': '2026-03-03 01:22:27.281973', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:55.266142', 'zmq_push_time': '2026-03-03 01:22:55.266142', 'total_time_s': 27.988892555236816, 'http_queue_latency_s': 0.004723548889160156}
2026-03-03 01:22:56,499 - root - INFO - [Worker-0/PID-26238] - [521348864] {'request_id': 521348864, 'input_seq_len': 326, 'output_seq_len': 1276, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.212363', 'http_post_time': '2026-03-03 01:22:27.212405', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:56.499148', 'zmq_push_time': '2026-03-03 01:22:56.499148', 'total_time_s': 29.286785364151, 'http_queue_latency_s': 4.291534423828125e-05}
2026-03-03 01:22:56,727 - root - INFO - [Worker-0/PID-26238] - [521327872] {'request_id': 521327872, 'input_seq_len': 349, 'output_seq_len': 1291, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.189717', 'http_post_time': '2026-03-03 01:22:27.189778', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:56.726899', 'zmq_push_time': '2026-03-03 01:22:56.726899', 'total_time_s': 29.537182331085205, 'http_queue_latency_s': 6.0558319091796875e-05}
2026-03-03 01:22:56,913 - root - INFO - [Worker-0/PID-26238] - [521334528] {'request_id': 521334528, 'input_seq_len': 445, 'output_seq_len': 1299, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.196577', 'http_post_time': '2026-03-03 01:22:27.196624', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:56.913426', 'zmq_push_time': '2026-03-03 01:22:56.913426', 'total_time_s': 29.716848611831665, 'http_queue_latency_s': 4.7206878662109375e-05}
2026-03-03 01:22:56,969 - root - INFO - [Worker-0/PID-26238] - [521395456] {'request_id': 521395456, 'input_seq_len': 361, 'output_seq_len': 1292, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.276756', 'http_post_time': '2026-03-03 01:22:27.281168', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:56.969031', 'zmq_push_time': '2026-03-03 01:22:56.969031', 'total_time_s': 29.692275285720825, 'http_queue_latency_s': 0.00441288948059082}
2026-03-03 01:22:57,093 - root - INFO - [Worker-0/PID-26238] - [521402112] {'request_id': 521402112, 'input_seq_len': 386, 'output_seq_len': 1297, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.277380', 'http_post_time': '2026-03-03 01:22:27.282206', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:57.093618', 'zmq_push_time': '2026-03-03 01:22:57.093618', 'total_time_s': 29.816237449645996, 'http_queue_latency_s': 0.004825115203857422}
2026-03-03 01:22:57,820 - root - INFO - [Worker-0/PID-26238] - [521351936] {'request_id': 521351936, 'input_seq_len': 522, 'output_seq_len': 1340, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.218119', 'http_post_time': '2026-03-03 01:22:27.218215', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:57.820551', 'zmq_push_time': '2026-03-03 01:22:57.820551', 'total_time_s': 30.602431774139404, 'http_queue_latency_s': 9.560585021972656e-05}
2026-03-03 01:22:58,235 - root - INFO - [Worker-0/PID-26238] - [521339648] {'request_id': 521339648, 'input_seq_len': 337, 'output_seq_len': 1362, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.202248', 'http_post_time': '2026-03-03 01:22:27.202309', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:58.235825', 'zmq_push_time': '2026-03-03 01:22:58.235825', 'total_time_s': 31.033576726913452, 'http_queue_latency_s': 6.079673767089844e-05}
2026-03-03 01:22:58,728 - root - INFO - [Worker-0/PID-26238] - [521304320] {'request_id': 521304320, 'input_seq_len': 189, 'output_seq_len': 1390, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.160949', 'http_post_time': '2026-03-03 01:22:27.161001', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:58.728780', 'zmq_push_time': '2026-03-03 01:22:58.728780', 'total_time_s': 31.56783103942871, 'http_queue_latency_s': 5.1975250244140625e-05}
2026-03-03 01:22:59,911 - root - INFO - [Worker-0/PID-26238] - [521320192] {'request_id': 521320192, 'input_seq_len': 719, 'output_seq_len': 1444, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.182044', 'http_post_time': '2026-03-03 01:22:27.182208', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:59.911148', 'zmq_push_time': '2026-03-03 01:22:59.911148', 'total_time_s': 32.729103326797485, 'http_queue_latency_s': 0.000164031982421875}
2026-03-03 01:23:00,304 - root - INFO - [Worker-0/PID-26238] - [521374976] {'request_id': 521374976, 'input_seq_len': 514, 'output_seq_len': 1455, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.246352', 'http_post_time': '2026-03-03 01:22:27.246487', 'first_token_time': None, 'final_token_time': '2026-03-03 01:23:00.304074', 'zmq_push_time': '2026-03-03 01:23:00.304074', 'total_time_s': 33.057722091674805, 'http_queue_latency_s': 0.0001354217529296875}
2026-03-03 01:23:00,321 - root - INFO - [Worker-0/PID-26238] - [521409792] {'request_id': 521409792, 'input_seq_len': 310, 'output_seq_len': 1450, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.286589', 'http_post_time': '2026-03-03 01:22:27.287898', 'first_token_time': None, 'final_token_time': '2026-03-03 01:23:00.321839', 'zmq_push_time': '2026-03-03 01:23:00.321839', 'total_time_s': 33.03524994850159, 'http_queue_latency_s': 0.0013089179992675781}
2026-03-03 01:23:00,511 - root - INFO - [Worker-0/PID-26238] - [521368320] {'request_id': 521368320, 'input_seq_len': 533, 'output_seq_len': 1466, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.239229', 'http_post_time': '2026-03-03 01:22:27.239291', 'first_token_time': None, 'final_token_time': '2026-03-03 01:23:00.511426', 'zmq_push_time': '2026-03-03 01:23:00.511426', 'total_time_s': 33.272196769714355, 'http_queue_latency_s': 6.151199340820312e-05}
2026-03-03 01:23:00,578 - root - INFO - [Worker-0/PID-26238] - [521293056] {'request_id': 521293056, 'input_seq_len': 282, 'output_seq_len': 1480, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.130155', 'http_post_time': '2026-03-03 01:22:27.130308', 'first_token_time': None, 'final_token_time': '2026-03-03 01:23:00.578463', 'zmq_push_time': '2026-03-03 01:23:00.578463', 'total_time_s': 33.44830775260925, 'http_queue_latency_s': 0.00015234947204589844}
2026-03-03 01:23:00,929 - root - INFO - [Worker-0/PID-26238] - [521396992] {'request_id': 521396992, 'input_seq_len': 223, 'output_seq_len': 1480, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.276955', 'http_post_time': '2026-03-03 01:22:27.281409', 'first_token_time': None, 'final_token_time': '2026-03-03 01:23:00.929751', 'zmq_push_time': '2026-03-03 01:23:00.929751', 'total_time_s': 33.652796268463135, 'http_queue_latency_s': 0.004453420639038086}
2026-03-03 01:23:01,112 - root - INFO - [Worker-0/PID-26238] - [521366272] {'request_id': 521366272, 'input_seq_len': 282, 'output_seq_len': 1495, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.236754', 'http_post_time': '2026-03-03 01:22:27.236859', 'first_token_time': None, 'final_token_time': '2026-03-03 01:23:01.112133', 'zmq_push_time': '2026-03-03 01:23:01.112133', 'total_time_s': 33.87537908554077, 'http_queue_latency_s': 0.00010514259338378906}
